id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,BuildingType,StructureType,OccupancyClass_Actual,NightPopulation,DayPopulation,geometry,OccupancyClass,DesignLevel,HeightClass
36034,37.65171,-122.04533300000001,1608.5,2,1983,680134.18,453422.787,W,W1,RES1,2,1,POINT (-122.04533300000001 37.65171),RES1,High-Code,
36035,37.651729,-122.04429700000001,1265.0,2,1983,591943.5819999999,394629.055,W,W1,RES1,4,2,POINT (-122.04429700000001 37.651729),RES1,High-Code,
36036,37.651848,-122.043296,2291.57,3,1983,1175102.019,783401.346,M,RM1,RES1,2,1,POINT (-122.043296 37.651848),RES1,High-Code,Low-Rise
36037,37.651941,-122.04656700000001,1517.47,1,1983,476697.34,317798.227,M,RM1,RES3A,4,2,POINT (-122.04656700000001 37.651941),RES3,High-Code,Low-Rise
36038,37.652011,-122.04713700000002,2595.0,1,1983,599884.245,399922.83,M,RM1,RES1,3,1,POINT (-122.04713700000002 37.652011),RES1,High-Code,Low-Rise
36039,37.652466000000004,-122.047975,783.0,2,1983,404082.87100000004,269388.581,W,W1,RES1,4,2,POINT (-122.047975 37.652466000000004),RES1,High-Code,
36040,37.65257199999999,-122.04823000000002,1825.0,1,1983,488185.49199999997,325456.995,M,RM1,RES1,2,1,POINT (-122.04823000000002 37.65257199999999),RES1,High-Code,Low-Rise
36041,37.652674,-122.048361,1402.0,2,1983,623579.095,415719.397,M,RM1,RES1,3,1,POINT (-122.048361 37.652674),RES1,High-Code,Low-Rise
36042,37.65297499999999,-122.048291,1917.0,1,1983,667396.722,444931.148,M,RM1,RES1,4,3,POINT (-122.048291 37.65297499999999),RES1,High-Code,Low-Rise
36043,37.653213,-122.046323,858.0,1,1983,299611.1283,199740.752,M,RM1,RES1,2,1,POINT (-122.046323 37.653213),RES1,High-Code,Low-Rise
36044,37.65344000000001,-122.04750100000001,950.0,2,1983,490266.576,326844.384,W,W1,RES1,3,1,POINT (-122.04750100000001 37.65344000000001),RES1,High-Code,
36045,37.65351300000001,-122.04776799999999,1097.0,1,1983,367449.846,244966.564,M,RM1,RES1,2,1,POINT (-122.04776799999999 37.65351300000001),RES1,High-Code,Low-Rise
36046,37.662298,-122.039357,1803.0,2,1971,701700.24,467800.16,W,W1,RES1,1,0,POINT (-122.039357 37.662298),RES1,Moderate-Code,
36047,37.657000999999994,-122.040569,791.0,1,1988,359861.599,239907.733,M,RM1,RES1,3,2,POINT (-122.040569 37.657000999999994),RES1,High-Code,Low-Rise
36048,37.65826799999999,-122.042318,1565.0,1,1988,408056.53500000003,272037.69,W,W1,RES1,2,1,POINT (-122.042318 37.65826799999999),RES1,High-Code,
36049,37.658860000000004,-122.04328000000001,576.0,1,1988,242219.43790000002,161479.625,W,W1,RES1,3,2,POINT (-122.04328000000001 37.658860000000004),RES1,High-Code,
36050,37.66051900000001,-122.049656,574.0,2,1988,342342.967,228228.645,W,W1,RES1,2,1,POINT (-122.049656 37.66051900000001),RES1,High-Code,
36051,37.660508,-122.04631200000001,1357.5,2,1988,696894.507,464596.338,W,W1,RES1,3,2,POINT (-122.04631200000001 37.660508),RES1,High-Code,
